Номер;КОЛ-ВО;Обзорное описание изданий;Примечания
коробки;экз. в коробке;(Название, год и номера или подшивки);
;;Мир детского театра 2000 №1;
;;Мир дизайна 1998  №1,2;
;;Мир дизайна 1999  №1,2,3,4;
;;Мир дизайна 2000  №1,2;
;;Мир дизайна 2001  №1;
;;Мир 1993 №3-6;
;;Мир и музей 2001 №6;
;;Мир искусства 1899 № 1-2-7-12, 13-15-18-19-21-22, 20;
;;Мир искусства 1900 №11-12;
;;Мир искусства 1902 №1;
;;Мир искусства 1904 №3;
;;Мир кукол 2012 №37,36;
;;Мир кукол 2008 №2;
;;Мир марок 2008  №2;
;;Мир марок 2011  №4,5,6;
;;Мир марок 2012  №2,1,3,4,5-6;
;;Мир марок 2013  №3,4,5,6;
;;Мир марок 2014  №1,2,3,4,5,6;
;;Мир марок 2015  №1-2,3;
;;Мир марок  и монет 2009  №1,2;
;;Мир марок  и монет 2010  №4,3;
;;Мир марок  и монет 2011  №7;
;;Мир марок  и монет 2012  №1,3,8;
;;Мир марок  и монет 2015  №3,4;
;;Мир марок  и монет 2017  №13;
;;;
6720;107;Мир металла 2005 №3,2,1;Евдокимова Л.В.,
;;Мир металла 2004 №6,4/5,2/3,1;Титунова И.Б.
;;Мир металла 2009 №6,4/5,2/3,1;
;;Мир металла 2008 №4/6,3,2,1;
;;Мир металла 2007 №1,2/3,4/5,6;
;;Мир металла 2006 №4/5,6;
;;Мир металла 2005 №4/5,6;
;;Мир металла 2010 №1,2,3,4,;
;;Мир металла 2011 №1,2,3/4,;
;;Мир металла 2012 №1;
;;Мир металла 2013 №1,2,3/4,;
;;Мир металла 2014 №1,2;
;;Мир музея 2003 №1-6;
;;Мир музейных технологий 2007 март-апрель;
;;Мир Паустовского 2000 №15-16;
;;Мир Паустовского 1996 №7-8;
;;Мир Паустовского 1995 №3-4;
;;Мир танца 2000 №1;
;;Мир танца 2001 №1-5;
;;Мир танца 2002 №1-5;
;;Мир техники кино 2021 №2,3,4;
;;Мир цирка 1998 №1,2;
;; Мир цирка 2000 №3/4;
;;Мир экрана  1918 №3;
;;Мировое древо 1992 №1;
;;Мировое древо 1993 №2;
;;Мировое древо 1994 №3;
;;Мировое наследие 2002 №1;
;;Мировое наследие 2012 спецвып.;
;;МитИнфо 2011 №1,2,3,4,5/6;
;;МитИнфо 2012 №1,2,2,3,4/5,6;
;;МитИнфо 2013 №1,2,3/4,5,6,;
;;МитИнфо 2014  № 1/2,3,4,5/6;
;;МитИнфо 2015 № 1,2,3/4,5/6;
;;МитИнфо 2016 №1,2,3,4;
;;МитИнфо 2017 №1,2,3,4;
;;МитИнфо 2018 №1,2,3,4;
;;МитИнфо 2019 №1,2,3,4;
;;Мои интервью 2002 №1;
;;Молодежная эстрада 1997 №4,5;
;;Молодежный вестник СПГИК 2007 №2;
;;Монитор 2010 №60,61,62;
;;Монитор 2009 №55,56,57;
;;;
6721;78;Монитор 2010 №58;Евдокимова Л.В.,
;;Москва 1918 №1;Титунова И.Б.
;;Москва 1919 №2/3;
;;Москва 1922 №6/7;
;;Москва 2019 №1,2,3,4,6,7,8,9,10,11,12;
;;Москва 2020 №1,2,3,4,5,6,7,8,9,10,11,12;
;;Москва 2021 №1,2,3,4,5,6,7,8,9,10,11,12;
;;Москва 2022 №1,2,3,4,5,6,7,8,9,10,11,12;
;;Москва 2023 №1,2,3,4,5,6;
;;МГУКИ вестник 2003 №1;
;;МГУКИ вестник 2004 №1,2,3,4;
;;МГУКИ вестник 2005 №1,2,3;
;;МГУКИ вестник 2006 №1,2,3,3,4;
;;МГУКИ вестник 2007 №1,2,3,4,5,6;
;;МГУКИ вестник 2008 №1,2,3;
;;;
6722;53;МГУКИ вестник 2009 №1,2,3,4,5,;Евдокимова Л.В.,
;;МГУКИ вестник 2010 №1,2,3,4,5,6;Титунова И.Б.
;;МГУКИ вестник 2011 №1,2,3,4;
;;МГУКИ вестник 2012 №1,2,3,4,5,6;
;;МГУКИ вестник 2013 №1,2,3,4,5,6;
;;МГУКИ вестник 2014 №1,2,3,4,5,6;
;;МГУКИ вестник 2015 №1,2,3,4,5,6;
;;МГУКИ вестник 2016 №1,2,3,4,5,6;
;;МГУКИ вестник 2017 №1,3,4,5,6;
;;МГУКИ вестник 2018 №1,3,4;
;;;
6723;70;МГУКИ вестник 2018 №5,6;Евдокимова Л.В.,
;;МГУКИ вестник 2019 №1,2,6;Титунова И.Б.
;;МГУКИ вестник 2020 №1,2,3,4,5,6;
;;МГУКИ вестник 2021 №1,2,3,4,5,6;
;;МГУКИ вестник 2022 №1,2,3,4,5,6;
;;МГУКИ вестник 2023 №1;
;;Московский еженедельник 1907 №9-12-28-43/ 1908 №31, 1;
;;Монеты Российской империи 2022 №12;
;;Монеты Российской империи 2023 №21,32,31;
;;Мономах 2022 №5;
;;Мономах 2023 №1;
;;Московский клуб 1993 №1,2;
;;Московский краевед 2022 №1,2;
;;Московский наблюдатель 1991 №1;
;;Московское наследие 2011 №7;
;;Московское наследие 2017 №3;
;;Московское наследие 2021 №1;
;;Московский наблюдатель 1991 №1,2,3,4,5,6/7,8/9,10,11,12;
;;Московский наблюдатель 1991 №2-12;
;;Московский наблюдатель 1992 №1-12;
;;Московский наблюдатель 1992 №1,2,3,4,4,5/6,7/8,9,10,11/12;
;;Московский наблюдатель 1993 №1-10 (2 шт);
;;Московский наблюдатель 1993 №8/9,11/12,11/12;
;;Московский наблюдатель 1994 №1-6;
;;Московский наблюдатель 1994 №1/2,3/4;
;;;
6724;88;Московский наблюдатель 1994 №5/6,11/12;Евдокимова Л.В.,
;;Московский наблюдатель 1994 №7/8-12;Титунова И.Б.
;;Московский наблюдатель 1995 №7/1/2-17/8;
;;Московский наблюдатель 1995 №1/2-3/4;
;;Московский наблюдатель 1995 №5/6-7/8;
;;Московский наблюдатель 1996 №1/2-3/4;
;;Московский наблюдатель 1996 №1-6;
;;Московский наблюдатель 1997 №1/2-5/6;
;;Московский наблюдатель 1998 №1;
;;Московский наблюдатель 1998 №1;
;;Московский наблюдатель 1997 №1-6;
;;Московский пролетарий 1926 №2-25;
;;Московский пролетарий 1926 №26-47;
;;Московский пролетарий 1927 №9-25;
;;Московский пролетарий 1927 №26-46;
;;МХТ материалы лаборатория 1942 №1 –(4 экз.;
;;Московский экран 1937 №13 (2 шт),14,11,9,8,6,5,4,2;
;;Московский экран 1938 №2-15;
;;Московский экран 1939 №1,2/3,7/8,9,10;
;;Моя Москва 1992 №1,2,3,4,5,6,;
;;Моя Москва 1993 №1/3,4/6;
;;Музыка 1910 №1,2,3,4/5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,;
;;Музыка 1911 №43-56, ;
;;Музыка 1912 №57-83,84-110,;
;;Музыка 1913 №111-136;
;;;
6729;216;Музыка. 1913. № 145 – 162;Евдокимова Л.В.,
;;Музыка. 1914. № 163 – 179;Титунова И.Б.
;;Музыка. 1914. № 180 – 188;10.07.2023
;;Музыка. 1914. № 189 – 203;
;;Музыка. 1915. № 204 – 238;
;;Музыка.  1915. № 220;
;;Музыка. 1916. № 239 – 255;
;;Музыка. 1910. № 1, 12, 13, 17, 18, 19, 20, 21, 22, 23, 26, 30, 31, 36, 37, 40, 45, 46, 49, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 73, 74, ;
;;Музыка. 1912. № 71, 72, 75, 76;
;;Музыка. 1913. № 138 – 141;
;;Музыка. 1912. № 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 92, 93, 94, 95, 96, 98, 99, 100, 101, 101 (2-й экз), 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 136, 138, 139, 140, 142, 143, 144, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, ;
;;Музыка. 1914. № 162, 163, 164, 165, 166, 167;
;;Музыка. 1914. № 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178;
;;Музыка. 1914. № 183, 184, 187, 188, 190, 200;
;;Музыка. 1914. № 193, 194, 196, 197, 198, 199, 201, 202, 203;
;;Музыка. 1915. № 205, 207, 208, 209, 210, 211, 212, 213, 214, 221, 222, 223, 224, 226, 227;
;;Музыка. 1916. № 239;
;;Музыка. 1922. № 2 – 3;
;;Музыка : искусство, наука, практика. 2012. № 1, 2;
;;Музыка : искусство, наука, практика. 2013. № 1, 2;
;;Музыка : искусство, наука, практика. 2014, № 1, 2, 3, 4;
;;Музыка : искусство, наука, практика. 2015. № 1, 2, 3, 4;
;;Музыка : искусство, наука, практика. 2017, № 1, 2, 3, 4;
;;Музыка : искусство, наука, практика. 2018, № 1, 2, 3, 4;
;;Музыка : искусство, наука, практика. 2019, № 1, 2, 3, 4;
;;Музыка : искусство, наука, практика. 2020, № 1, 3, 4;
;;Музыка : искусство, наука, практика. 2021, № 1, 2, 4;
;;Музыкальная самодеятельность. 1934. № 1, 2, 3, 4, 5, 7, 8/9, 10, 11, 12;
;;Музыкальная самодеятельность. 1935. № 1 – 12.;
;;Музыкальная психология и психотерапия. 2010. № 6;
;;Музыкальная академия. № 2018. № 1 + нотный альманах;
6730;84;Музы 1913 №1, 1914  №2-5;Евдокимова Л.В.,
;;Музей традиции этничность 2012 №1;Титунова И.Б.
;;Музыка 2022 № 1,2,3,4,5 ;
;;Музыка для всех 1928 №4-7,9;
;;Музыка в СССР 1987 №2-4,12,4,3,3,2,2;
;;Музыка в СССР 1988 №1-4,4,3,3,2;
;;Музыка в СССР 1989 №4,4, 1-12;
;;Музыка в СССР 1990 №3,3,2,2;
;;Музыка в СССР 1991 №1-9,3,4,1;
;;Музыка и жизнь 1910 №1-12;
;;Музыка и быт 1927 №1-12;
;;Музыка и октябрь  1926 №1-5;
;;Музыка и октябрь  1926 №2-3;
;;Музыка  и революция 1926 №1-12, 12,11,10,9,7/8,5,6,4,3,2,1;
;;Музыка  и революция 1927 №1-12, 12,11,10,9,7/8,5/6,4,3,2,1;
;;Музыка  и революция 1928 №1-12, 12,11,10,9,7/8,5/6,4,3,2,1;
;;Музыка  и революция 1929 №1-8,;
;;7/8,5/6,4,3,2,1;
;;Музыкальная новь 1923 №1-3;
;;Музыкальная новь 1924 №4-11;
;;Музыка и театр 1867 №1,8;
;;Музыка и театр 1924 №5-8-16-19-21-23-25;
;;Музыка и театр 1923 №6-35;
;;Музыка и театр 1922 №5;
6731;80;Музыкальная академия  1992 №1,2,3;Евдокимова Л.В.,
;;Музыкальная академия  1993 №4;Титунова И.Б.
;;Музыкальная академия  1994 №1,2,3,4,5;
;;Музыкальная академия  1995  №1,2,3,4-5;
;;Музыкальная академия  1998 №3/4;
;;Музыкальная академия  2006 №4;
;;Музыкальный альманах 2016 №1,2,3,4;
;;Музыкальный альманах 2017 №1,2,3,4;
;;Музыкальная жизнь 1969 №4;
;;Музыкальная жизнь 2002 №7;
;;Музыкальная жизнь 2009 №7;
;;Музыкальная жизнь 2019 №6, 5, 4, 12, 11, 10, 9;
;;Музыкальная жизнь 2018 №7;
;;Музыкальная Пальмира 2022 №5, 6, 4, 7, 8, 3,2;
;;Музыкальная самодеятельность 1936 №1, 2/3,4,6,2,1;
;;Музыкальный журнал 2017 №12,11,10, 9,7/8,6,5,4,3,1/2;
;;Музыкальный журнал 2016 №11/12,10;
;;Музыкальный журнал 2018 №12,11,10,9, 7/8,6,5,4,3,1/2;
;;Музыкальный журнал 2019 №9,7/8,6,5,4, 3,1/2;
;;Музыкальный журнал 2020 №1/2,3,4,5;
6732;128;Музыкальный журнал 2020 №6,7/8,9, 10,11,12;Евдокимова Л.В.,
;;Музыкальный журнал 2021 №1/2,3,4,5,6, 7/8,9,10,11,12;Титунова И.Б.
;;Музыкальный журнал 2022 №2,1,4;
;;Музыкальный листок 1875 №11 (россыпь листов),12,13,15,16,17,18,19,20,21,22,23;
;;Музыкальный листок 1873 №9;
;;Музыкальный листок 1874 №2,3,1,2,3,4;
;;Музыкальный листок 1875-1877;
